# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
aloofness	冷漠
alopecia	脱发
alors	<法>int
aloud	出声地
aloysius	阿洛伊修斯
alp	高山
alpaca	羊驼
alpenglow	高山辉
alpha	希腊字母表的
alphabet	字母
alphabetic	按字母次序的
alphabetical	依字母顺序的
alphabetically	按字母顺序地
alphabetize	依字母顺序排
alphabetized	依字母顺序排
alphanumeric	字母数字的
alphonse	阿方斯
alpine	高山的
alpinist	登山家
alps	阿尔卑斯山脉
already	已经
alright	没问题的
alsace	阿尔萨斯
alsatian	阿尔萨斯的
also	也
alston	阿尔斯通（当
alt	高音调
alta	阿尔塔（女子
altai	阿尔泰语
altar	圣坛
altarpiece	组塑
altazimuth	地平经纬仪
altdorf	阿尔道夫（瑞
alter	改变
alterable	可变的
alteration	变更
altercation	争论
altered	[医]改变的
altering	变更
alterity	他异性
alternate	交替的
alternately	交替地
alternating	交互的
alternation	交互
alternative	两者择一
alternatively	非此即彼
alternator	交流发电机
althorp	人名
although	虽然
althusser	阿尔都塞（人
altimeter	高度计
altiplano	高原
altitude	高度
altitudinal	高度的
altman	奥尔特曼
alto	女低音
altogether	完全地
alton	奥尔顿
altrincham	人名
altruism	利他主义
altruist	利他主义者
altruistic	利他的
altruistically	利他地
alum	明矾
alumina	矾土
aluminium	铝
aluminum	铝
alumna	女毕业生
alumni	pl.男毕业
alumnus	男毕业生
alun	人名
alva	阿尔瓦（人名
alvarez	人名
alvaro	阿尔瓦罗（人
alveolar	牙槽的
alveolus	小窝
alves	阿尔维斯（男
alvey	阿尔维（人名
alvin	阿尔文
always	总是
alwyn	阿尔文（英国
alyson	艾莉森（女子
alyssum	[植]十字花
alzheimer	阿尔茨海默病
am	be的单数第
ama	相联存储器阵
amadeus	莫扎特（奥地
amal	航空医学加速
amalgam	汞合金
amalgamate	使汞齐化
amalgamated	合并
amalgamation	汞齐化
amanda	阿曼达（女子
amanuensis	笔记者
amaranth	不凋花
amaretto	意大利苦杏酒
amaryllis	孤挺花
amass	积聚
amassing	积聚
amateur	业余爱好者
amateurish	业余的
amateurishness	amateu
amateurism	外行做法
amato	人名
amatory	恋爱的
amaze	使吃惊
amazed	吃惊的
amazement	惊愕
amazing	令人惊异的
amazingly	令人惊讶地
amazon	亚马孙河
amazonia	亚马孙古陆
amazonian	亚马逊河区的
ambassador	大使
ambassadorial	大使的
ambassadorship	大使的职位
amber	琥珀
ambergris	龙涎香
amberley	人名
ambiance	气氛
ambidextrous	两手俱利的
ambience	周围环境
ambient	周围的
ambiguity	不明确
ambiguous	不明确的
ambiguously	含糊不清地
ambit	周围
ambition	野心
ambitious	有野心的
ambitiously	雄心勃勃地
ambivalence	矛盾情绪
ambivalent	矛盾的
ambivalently	有矛盾感情地
amble	马的缓行步态
ambo	读经台
ambrose	安布罗斯
ambrosia	仙果
ambrosial	特别美味的
ambulance	救护车
ambulanceman	救护人员
ambulate	移动
ambulation	移动
ambulatory	步行的
ambush	埋伏
amd	超微半导体公
amdahl	阿姆德尔
amelia	无肢[畸形]
amelie	天使爱美丽（
ameliorate	改善
ameliorating	<正
amelioration	改善
ameliorative	起改善作用的
amen	interj
amenable	服从的
amend	修改
amendable	可修正的
amended	修正的
amending	修改
amendment	修订
amends	赔偿
amenities	令人愉快之事
amenity	便利设施
amenorrhea	经闭
amer	美国的（等于
amerasian	美亚混血儿
america	美洲
american	美国人
americana	美国文物
americanism	崇美主义
americanist	研究美国问题
americanization	美国化
americanized	美国化的
americanness	美国性
americas	美洲
americium	镅
amerindian	美国印地安人
amery	埃默里
ames	自动信息输入
amethyst	紫水晶
amharic	阿姆哈拉语
amherst	阿默斯特
ami	高级材料情报
amiability	和蔼可亲
amiable	亲切的
amiably	和蔼可亲地
amicable	友善的
amicably	友善地
amid	在其间
amidships	在船体中部
amidst	在...当中
amiens	亚眠[法国北
amiga	女性朋友
amigo	朋友
amin	阿敏（七十年
amine	胺
amino	氨基的
aminoglycoside	氨基糖苷类
aminotransferase	氨基转移酶
amir	埃米尔
amis	采集管理信息
amish	孟诺教派
amiss	有毛病的
amity	友好
amma	[=Amer
amman	安曼
ammo	军火
ammonia	氨水
ammonite	菊石
ammonium	铵
ammunition	军火
amnesia	健忘症
amnesiac	遗忘者
amnesty	大赦
amnio	羊膜穿刺术（
amniocentesis	羊膜穿刺术
amniotic	羊膜的
amo	美国眼力健公
amoco	美国石油公司
amoeba	阿米巴
amoebic	变形虫的
amok	乱砍乱杀
amon	文件实时监控
among	在...之中
amongst	在...当中
amontillado	白葡萄酒
amor	恋爱
amoral	不属于道德范
amorality	超道德
amoroso	葡萄醇香酒
amorous	多情的
amorphous	无定形的
amortise	摊还
amortization	分期付款
amortize	摊还
amory	艾默利（姓氏
amos	阿摩司
amount	总数
amour	偷情
amoxicillin	阿莫西林
amp	安培
amperage	安培数
ampere	安培
ampersand	"&"号
amphetamine	苯丙胺
amphibian	两栖类的
amphibious	水陆两栖的
amphitheater	圆形剧场
amphitheatre	圆形剧场
amphora	瓶状体
amphotericin	两性霉素
ampicillin	氨苄青霉素
ample	大量的
ampleforth	人名
amplification	扩大
amplified	放大
amplifier	扩大的人
amplify	增强
amplitude	广阔
amply	充足地
ampoule	安瓿
ampule	安瓿
ampulla	两耳细颈瓶
amputate	切断
amputated	切断
amputation	切断
amputee	被截肢者
amr	自动执息路由
amritsar	阿姆利则[印
ams	存取方法服务
amsterdam	阿姆斯特丹
amtrak	美国铁路公司
amulet	护身符
amundsen	Sea阿蒙森
amuse	消遣
amused	愉快的
amusement	兴味
amusing	有趣的
amusingly	有趣地
amy	艾米（女子名
amygdala	巴旦杏
amyl	戊基
amylase	淀粉酶
amyloid	淀粉的
amyloidosis	淀粉样变性
amyotrophic	肌萎缩的
an	一
ana	言论集
anabaptist	再洗礼派教徒
anabolic	合成代谢的
anachronism	时代错误
anachronistic	时代错误的
anaclitic	情感依附的
anaconda	[动]水蟒
anadromous	溯河产卵的
anaemia	贫血
anaemic	贫血的
anaerobic	厌氧的
anaesthesia	麻木
anaesthetic	麻醉剂
anaesthetise	使麻醉
anaesthetised	使麻醉
anaesthetist	麻醉师
anaesthetize	使麻木
anagnorisis	[戏]发现
anagogic	理想精神的
anagram	回文构词法
anal	肛门的
analgesia	止痛
analgesic	止痛的
analog	模拟
analogical	相似的
analogize	对...作类
analogous	类似的
analogously	类似地
analogue	类似物
analogy	相似
analysable	可分析的
analysand	接受精神分析
analyse	分析
analysed	分析（ana
analyser	分析器
analysis	分析
analyst	分析者
analyte	分析物
analytic	分析的
analytical	分析的
analytically	分析上
analytics	分析方法
analyze	分析
analyzed	检讨
analyzer	分析者
anamorphic	畸形的
anand	安纳德（印度
ananda	完美的祝福
anaphor	照应语
anaphora	首语重复法
anaphylactic	过敏性
anaphylaxis	过敏性
anarchic	无政府的
anarchical	无政府主义的
anarchism	无政府主义
anarchist	无政府主义者
anarchistic	无政府主义的
anarchy	无政府状态
anasazi	阿那萨吉
anastomosis	接合
anathema	令人厌恶的人
anatole	阿纳托尔
anatolia	安纳托利亚
anatolian	安那托利亚语
anatoly	人名
anatomic	解剖的
anatomical	解剖的
anatomically	解剖
anatomist	解剖学家
anatomy	剖析
anc	非洲民族会议
ancestor	祖先
ancestral	祖先的
ancestress	女祖先
ancestry	祖先
ancho	安蔻椒
anchor	锚
anchorage	下锚
anchored	固定的
anchoring	吊骨
anchorman	末棒运动员
anchorwoman	广播新闻的女
anchovy	凤尾鱼
ancient	古代的
anciently	以往
ancillary	从属的
ancona	安科纳[意大
ancova	协方差分析（
and	和
andalucia	人名
andalusia	安达卢西亚
andalusian	安达卢西亚语
andante	行板
ande	安德（人名）
andean	安第斯山脉的
anders	安德斯（男子
andersen	安徒生
anderson	安德森市（美
andersson	人名
anderton	人名
andf	archit
andiron	薪架
andorra	安道尔共和国
andouille	昂杜耶
andover	安德沃（美国
andra	安德拉（人名
andre	安德烈（男子
andrea	安德里亚（男
andreas	安德里亚斯（
andrei	安德烈（人名
andreotti	人名
andres	安德烈斯（人
andretti	人名
andrew	安德鲁（男子
andrewes	人名
andrews	安德鲁斯（姓
andrey	安德烈（姓氏
andries	人名
androcentric	以男性为主的
androgen	雄激素
androgenetic	产生雄性征的
androgynous	雌雄同体的
androgyny	两性畸形
android	机器人
andromeda	安德洛墨达
andropov	人名
androstenedione	雄甾烯二酮
andrus	安德勒斯（男
andy	安迪（男子名
anecdotal	轶事的
anecdote	轶事
anemia	贫血
anemic	贫血的
anemometer	风速计
anemone	银莲花
anencephalic	无脑的
anencephaly	无脑[畸形]
anesthesia	麻醉
anesthesiologist	麻醉学者
anesthesiology	麻醉学
anesthetic	麻醉剂
anesthetist	麻醉师
anesthetize	使麻木
anesthetized	使麻醉（an
aneurin	硫胺
aneurism	动脉瘤
aneurysm	动脉瘤
anew	重新
anfield	安菲尔德球场
ang	（美国）空军
ange	（法）昂热（
angel	天使
angela	安吉拉（女子
angeles	安杰利斯（姓
angelfish	楔形
angeli	昂厄利（地名
angelic	天使的
angelica	当归属植物
angelina	安吉莉娜（女
angell	天使
angelo	安吉洛（男子
angelus	奉告祈祷
anger	忿怒
angered	生气
angevin	昔时法国安如
angie	安琪（女子名
angina	咽痛
angiogenesis	血管生成
angiogram	[医]血管造
angiography	血管造影术
angioplasty	血管成形术
angiosarcoma	血管肉瘤
angiosperm	被子植物
angiotensin	血管紧张素
angkor	吴哥
anglaise	旧式的英国土
angle	角
angled	有角的
anglepoise	[商标]安格
angler	钓鱼
anglesey	安格尔西岛（
anglia	英格兰的拉丁
anglian	盎格鲁族之方
anglican	盎格鲁人
anglicanism	英国国教
anglicise	使英国化
anglicised	英国化的
anglicize	使英国化
anglicized	英语化
angling	钓鱼
anglo	英国人
anglophile	亲英者
anglophone	母语是英语者
angola	安哥拉
angolan	安哥拉
angora	安哥拉
angrily	愤怒地
angry	生气的
angst	焦虑
angstrom	埃
anguilla	安圭拉岛
anguish	剧痛
anguished	极度痛苦的
anguishing	痛苦
angular	有角的
angularity	有角
angulation	角度
angus	安格斯（男子
angy	人名
anhydride	酸酐
anhydrous	无水的
ani	自动号码识别
anil	假蓝靛
aniline	苯胺
anima	生命
animal	动物
animalistic	兽性说的
animality	兽性
animals	动物
animate	使有生气
animated	活生生的
animatedly	精力旺盛地
animating	有生气的
animation	活泼
animator	赋与生气者
animatronic	电子动物的
animatronics	电子动画学
anime	硬树脂
animism	万物有灵论
animist	万物有灵论者
animistic	万物有灵论的
animosity	仇恨
animus	基本态度
anion	阴离子
anise	茴芹
aniseed	洋茴香
anisette	茴香酒
anisotropic	各向异性的
anisotropy	各向异性
anita	安尼塔（女子
anjelica	安杰丽卡（人
anjou	昂儒（法国西
ankara	安卡拉
ankh	T形十字章
ankle	踝
anklet	短袜
ann	安（女子名）
anna	安娜（女子名
annabel	安娜贝尔（女
annabelle	安娜贝拉（女
annal	记录
annals	编年史
annamese	安南的
annan	安南（人名）
annandale	安嫩代尔（美
anne	安妮（女子名
anneal	使退火
annealing	调整
annes	人名
annesley	人名
annette	安妮特（女子
annex	附加物
annexation	合并
annexe	附加物
annexed	附加的
annie	安妮（女子名
annihilate	消灭
annihilation	歼灭
anniversary	周年纪念
anno	[拉]伊斯兰
annotate	作注解
annotated	有注释的
annotation	注解
announce	宣布
announced	宣布的
announcement	公告
announcer	节目报告员
annoy	使恼怒
annoyance	烦恼
annoyed	恼怒的
annoying	恼人的
annoyingly	恼人地
annual	年刊
annualised	年度的
annualized	[税收]按年
annually	一年一次
annuity	年金
annul	废除
annular	环形的
annulment	废除
annulus	环
annunciation	宣布
ano	无名的
anode	阳极
anodized	受过阳极化处
anodyne	止痛药
anoint	涂油
anointed	基督
anointing	受膏
anointment	涂油礼
anole	变色龙
anomalous	不规则的
anomalously	反常地
anomaly	不规则
anomic	社会的反常状
anomie	社会的反常状
anon	不久以后
anonymity	匿名
anonymous	姓氏不详的
anonymously	不具名地
anorak	风雪短大衣
anorectal	肛门直肠的
anorexia	食欲缺乏
anorexic	患神经性厌食
another	另外的
anova	方差分析
anoxia	缺氧症
anoxic	缺氧
anschluss	联合
ansell	安思尔（澳大
anselm	安塞姆（男子
ansi	美国国家标准
anson	安森（男子名
anstey	人名
anstruther	人名
answer	答案
answerable	有责任的
answered	回答
answering	应答
answerphone	电话答录机
ant	蚂蚁
antacid	中和酸的
antagonise	对...起反
antagonism	对立
antagonist	敌手
antagonistic	对抗的
antagonize	使对抗
antarctic	南极的
antarctica	南极洲
ante	赌注
anteater	食蚁动物
antebellum	战前的
antecedence	先
antecedent	前情
antechamber	前厅
antedate	先于
antediluvian	大洪水前的
antelope	羚羊
antenatal	出生前的
antenna	天线
antennae	pl.天线
anterior	前面的
anteriorly	先前地
anteroom	候见室
anteroposterior	前后的
anthea	安西娅
anthem	圣歌
anthemic	欢乐的
anther	花药
anthill	蚁冢
anthocyanin	花色素苷
anthologist	选集的编者
anthologize	编选集
anthology	选集
anthony	安东尼（人名
anthracite	无烟煤
anthrax	炭疽
anthropic	人类的
anthropocentric	人类中心说的
anthropocentrism	人类中心说
anthropogenic	人类发生的
anthropoid	类人猿
anthropological	人类学的
anthropologically	人类学上
anthropologist	人类学家
anthropology	人类学
anthropometric	人体测量的
anthropometry	人体测量学
anthropomorphic	被赋于人形的
anthropomorphism	拟人论
anthropomorphize	人格化
anthurium	[植]花烛属
anti	反对者
anti-semitism	反犹主义
antiaircraft	防空的
antibacterial	抗菌的
antibiotic	抗生素
antibiotics	抗生学
antibody	抗体
antic	滑稽动作
antichrist	反对基督者
anticipate	预期
anticipated	预期的
anticipation	预期
anticipatory	期待着的
anticlerical	反圣职者的
anticlericalism	anticl
anticlimactic	突降法的
anticlimax	突降法
anticline	背斜
anticlockwise	逆时针的
anticoagulant	抗凝剂
anticoagulation	抗凝作用
anticonvulsant	&n.抗惊厥
antics	滑稽动作
antidepressant	抗抑郁的
antidote	解毒剂
antifeminist	&n.反对女
antifreeze	防冻剂
antifungal	抗真菌的
antigen	抗原
antigenic	抗原
antigravity	反重力
antigua	安提瓜岛
antiguan	Antigu
antihistamine	抗组胺药
antihydrogen	[核]反氢
antihypertensive	抗高血压药
antille	人名
antillean	安的列斯群岛
antimacassar	椅背套
antimalarial	抗疟的
antimatter	反物质
antimicrobial	抗菌的
antimony	锑
antineutrino	反中微子
antinomian	〈宗〉
antinomy	自相矛盾
antioch	安提俄克
antioxidant	抗氧化剂
antiparticle	反粒子
antipasto	开胃食物
antipathetic	生来厌恶的
antipathy	厌恶
antiperspirant	止汗剂
antiphon	轮流吟唱的歌
antiphonal	启应轮流吟唱
antipode	正相反的事物
antipodean	正相反对的
antiproton	反质子
antiqua	安迪瓜（瓜地
antiquarian	古文物收藏家
antiquark	[核]反夸克
antiquary	古文物收藏家
antiquate	使古旧
antiquated	陈旧的
antique	古董
antiqued	仿古的
antiquity	古老
antiracism	反种族主义
antiracist	反种族主义者
antiseptic	抗菌剂
antisera	[免疫]抗血
antiserum	抗血清
antislavery	反对奴隶制
antisocial	不爱社交的
antiterrorism	反恐怖主义
antithesis	对偶
antithetical	对立的
antitoxin	抗毒素
antitrust	反托拉斯的
antitype	对型
antivenin	抗蛇毒血清
antiviral	抗病毒的
antler	鹿角
antlered	带鹿角的
antoine	安托万（男子
antoinette	安托瓦内特
anton	安东（男子名
antoni	人名
antonia	安东尼娅
antonin	安东尼（人名
antoninus	安东尼纳斯（
antonio	安东尼奥（男
antonov	人名
antony	安东尼（男子
antonym	反义词
antral	窦
antrim	安特里姆郡[
antrum	窦
antsy	热锅上的蚂蚁
antwerp	安特卫普
anus	肛门
anvil	铁砧
anwar	安瓦尔
anxiety	焦虑
anxious	忧虑的
anxiously	忧虑地
anxiousness	焦急
any	任何的
anya	安雅（美国女
anybody	任何人
anyhow	无论如何
anymore	再也不
anyone	任何人
anyplace	在任何地方
anything	任何事
anytime	任何时候
anyway	无论如何
anywhere	无论何处
ao	阳极断电
aorta	主动脉
aortic	主动脉的
aoun	人名
ap	应付款
apace	快速地
apache	阿帕切族
apart	成零碎
apartheid	种族隔离
apartment	房间
apartness	冷漠
apathetic	缺乏感情的
apathy	无感情
apatosaurus	迷惑龙
apb	应用程序块
ape	无尾猿
aperitif	开胃酒
aperture	孔
apes	猿
apex	顶
aphasia	失语症
aphasic	语言不能的
aphelion	远日点
aphid	蚜虫
aphorism	格言
aphoristic	关于格言/警
aphrodisiac	摧欲剂
aphrodite	阿佛洛狄特
